,0,1
0,好,1248
1,人,1137
2,說,1098
3,想,886
4,真的,858
5,知道,805
6,覺得,698
7,喔,619
8,一個,536
9,比較,479
10,系,454
11,問題,432
12,應該,420
13,有人,415
14,現在,387
15,一下,385
16,新生,380
17,請問,369
18,成,359
19,妳,353
20,看到,352
21,再,342
22,謝謝,341
23,好像,341
24,活動,326
25,學校,313
26,課,303
27,找,299
28,學長,298
29,後,297
30,老師,291
31,一定,285
32,已經,283
33,做,276
34,不用,272
35,大學,272
36,這種,271
37,宿舍,262
38,太,257
39,成大,256
40,看看,252
41,喜歡,245
42,吃,242
43,幹,239
44,有沒有,239
45,直接,236
46,女生,227
47,是不是,225
48,台灣,224
49,嗚嗚,221
50,先,221
51,一起,220
52,認真,217
53,中,217
54,選,214
55,欸,210
56,東西,204
57,跑,202
58,幫,201
59,寫,200
60,之前,200
61,一直,199
62,朋友,199
63,參加,198
64,學長姐,198
65,只,197
66,選課,196
67,時間,195
68,幹幹,195
69,成功,190
70,嘻嘻,189
71,之後,188
72,推,186
73,買,185
74,小,181
75,一堆,179
76,希望,178
77,請,177
78,新,177
79,事,176
80,同學,176
81,修,175
82,學分,173
83,需要,169
84,教授,168
85,錢,167
86,畢業,167
87,感覺,165
88,轉系,165
89,不到,162
90,上課,162
91,記得,159
92,笑,157
93,一點,156
94,開學,156
95,發現,154
96,問,154
97,有點,153
98,文,153
99,通識,151
100,課程,150
101,只能,149
102,台南,148
103,肥宅,148
104,最,148
105,下,147
106,認識,145
107,住,145
108,懂,144
109,走,144
110,前,143
111,根本,143
112,建議,143
113,今天,142
114,想法,141
115,惹,139
116,死,138
117,唷,138
118,今年,134
119,英文,134
120,完,132
121,感謝,132
122,樓上,129
123,想要,128
124,留言,127
125,直屬,127
126,室友,126
127,不想,125
128,妹子,124
129,學生,123
130,原,122
131,高,122
132,不錯,120
133,聽,120
134,一次,120
135,分數,120
136,學弟,116
137,這是,116
138,申請,115
139,參考,114
140,讀,112
141,篇文章,112
142,學姊,112
143,中國,112
144,考,111
145,學期,111
146,支持,110
147,開,109
148,快來,109
149,回,109
150,登,107
151,幹嘛,107
152,哈哈哈,107
153,正常,106
154,完全,106
155,通報,106
156,證明,106
157,兩個,105
158,最後,105
159,分,105
160,一些,105
161,大一,104
162,剛剛,103
163,大人,103
164,資料,102
165,大二,102
166,準備,102
167,最近,101
168,本來,101
169,內容,101
170,男生,100
171,小弟,100
172,推薦,100
173,卻,100
174,電機,100
